target_id	run_id	static_index	function_occurrence	artifact_path	artifact_sha256	terminal_status	callback_address_count	warp_records	overflow	drop	classification	static_mref_set_sha256	address_context_sha256
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	108	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_108.bin	225be3242425468c853d5b36f56d2e272576630d33e5b44a3b31789f3ae0455d	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	ed0874daf627e623982127ffebcd01066bbffbfcf61f582415c499a0e9c9436a
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	120	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_120.bin	59145f21e741423ecd1877ec12cbdb38221a3154d3a298cea552293c1f30ab84	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	748eb4a7773ec61bc7e737ce3ac219e7e380ef5dac8abefa2ca0954c96158ac2
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	132	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_132.bin	7fb4fdb97d070927a116465ac647e981a68b46ee7ec1d2c09759e4ea1e5b9a61	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	d6fb0bc9b9f04198c39d7b54cd051742c18fb72cf24a78b45414fbcb4d4ede24
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	138	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_138.bin	c200e68dac93e1368008176b7f55e1e4aa240190209f986fe7f9197b7849def0	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	48bae6f34a34bc547bb85182918dd675e3ce6c9c443fd3f038d4aeb79fa3c5c4
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	152	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_152.bin	e52db76d0483c69b3c0a9fdf3394c796349861426a18395c8b6f4124537ed7f3	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	9e70d6fe9f2ccb850115a41b204a885b7e6edea9a1f9a0271ae1d345ed21d73e
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	166	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_166.bin	0696ee8b8235901fcffa7feb5d67c13f03649d291f07b82c5ed6e234cbcca5b7	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	5f510aa756851e5f8ef1c8af8ba94ac5f4fe3d11abf97789a49ad7f520895844
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	178	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_178.bin	f11f8dc6bb4a7e3005c886a7e55183fef65709b0be27f39fdaf384a838038a8b	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	0a0946829334ea0dbee07ccb62aa9275ca4b7059ec3758e963aaf3f4f93cab01
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	192	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_192.bin	cb9dd3bf70eef26967a54bacc2c62aa06ad7ffa553899fd9ec70c36284499fcb	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	06c5562949f0a9d1e2cc61c045bc35587340a917012d28f027ec763c39ec1f5d
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	203	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_203.bin	6bf1778a52978c3dd07f4462eb23540f24bc7ecdb48a95150a9a3955b84f2664	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	104447a710eb547c52af11cb83633e841fbbbfc1ff7c5ba3e5d98379b1a884fa
Q05_DECODE_EARLY_HEAVY	C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff	211	1	/data/c16/capture/transferred/C16R_qwen25-05b_s2-text_decode_nvbit-warp-mref-shard_q05-decode-early-heavy_20260915T065526Z_310734bf5eff/raw_shards/mref_211.bin	015ad19025b1fff82921c306a53eb0f46c9dd64a1e1d0ae72e626e724abfce32	COMPLETE	0	0	0	0	ZERO_EXECUTION_PROVEN	f9b0f40792fe2b1576728d944294c223ddef0269720c91877fe0ab08f09b45f7	9339869d778953cd23073f3e7614c93852530a0b1ffab4496f592dadd30f22b1
