experiment_id	arm_id	arm_kind	evidence_label	hypothesis_ids	baseline_arm_id	roi	trace_selector	trace_list	trace_list_sha256	trace_dir	object_map	base_config	trace_config	profile	profile_config	extra_config	expected_binary_sha256	expected_runtime_sha256	expected_config_sha256	max_kernels	telemetry_level	window_transactions	working_directory	output_relpath	semantic_realization_guard	command_template	execution_precondition	result_criteria
E01	E01-generic	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H2,H5	NONE	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	NONE	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	0f5c0129eef2013e1d293cc3ab319af85b41eab45f1e3469cf3116026154bcb8	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E01-generic	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=128	run_m4c_replay.sh generic max_kernels=1	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E01	E01-pwc32	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H2,H5	E01-generic	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	/workspace/vm-spec-farm/configs/b2/b2-pwc-finite32.config	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	847692c65dc734861903a2457cca2fa2835396db7c37ff00c25b200aff7bdd70	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E01-pwc32	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=32	run_m4c_replay.sh generic plus finite32	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E02	E02-generic	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H2,H5	NONE	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	NONE	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	0f5c0129eef2013e1d293cc3ab319af85b41eab45f1e3469cf3116026154bcb8	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E02-generic	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=128	run_m4c_replay.sh generic max_kernels=1	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E02	E02-pwc512	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H2,H5	E02-generic	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	/workspace/vm-spec-farm/configs/b2/b2-pwc-finite512.config	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	19d44bf9fc16afa711f07e4eb6a383457294f5726bf6f1a2f8418b23513b8b54	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E02-pwc512	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=512	run_m4c_replay.sh generic plus finite512	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E03	E03-generic	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H2,H5	NONE	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	NONE	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	0f5c0129eef2013e1d293cc3ab319af85b41eab45f1e3469cf3116026154bcb8	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E03-generic	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=128	run_m4c_replay.sh generic max_kernels=1	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E03	E03-pwcideal	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H2,H5	E03-generic	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	/workspace/vm-spec-farm/configs/b2/b2-pwc-ideal.config	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	9b89ffd309b1a3c30b13e7a2dbf6c9ceb1a80ef4c45b39d9daac4f81f43ae062	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E03-pwcideal	vm_mode=2;page_size=65536;pwc_mode=2	run_m4c_replay.sh generic plus pwcideal	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E04	E04-generic64k	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H1,H5	NONE	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	NONE	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	0f5c0129eef2013e1d293cc3ab319af85b41eab45f1e3469cf3116026154bcb8	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E04-generic64k	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=128	run_m4c_replay.sh generic max_kernels=1	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E04	E04-page2mb	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H1,H5	E04-generic64k	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	/workspace/vm-spec-farm/configs/b2/b2-page-2mb-diagnostic.config	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	1a8ad6234ce80e4988185dd13dd2eb95a6bbe4ae7ffffda4bccead4c544237ea	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E04-page2mb	vm_mode=2;page_size=2097152;pwc_mode=1;pwc_entries=128	run_m4c_replay.sh generic plus page2mb	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E05	E05-generic	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H1,H5	NONE	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	generic	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	NONE	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	0f5c0129eef2013e1d293cc3ab319af85b41eab45f1e3469cf3116026154bcb8	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E05-generic	vm_mode=2;page_size=65536;pwc_mode=1;pwc_entries=128	run_m4c_replay.sh generic max_kernels=1	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
E05	E05-disabled	SIM_SMOKE	SPECULATIVE_DIAGNOSTIC	H1,H5	E05-generic	decode1	semantic_index_0;kernel-1464	/workspace/vm-spec-farm/inputs/semantic-rebuilt/decode1/compute-only-kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	/workspace/vm-spec-farm/staging/llama-f96b7ea9-5bdd4b55/decode1/m4a-llama-decode1-20260903T004138Z/traces	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/object_maps/M4C_DECODE1_OBJECT_MAP.tsv	/workspace/worktrees/gpgpu-sim-vm-spec-farm/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	/workspace/worktrees/accel-sim-vm-spec-farm/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	disabled	/workspace/worktrees/accel-sim-vm-spec-farm/configs/vm_tlb/M4C_CONTROL_VM_DISABLED.config	NONE	2d6f825faf71e4aa9acc8d62e98186c9d7c1a92ecd2c41cbfd108e918de44915	ad54dc2df0788f4b7870ef3aaef258d84e9fa143d23cd5908d2c0a9143d0adfe	0b9e5e5e57489a4878288a34fcc54b511a852891306ec6f39970528d19a9256a	1	3	1000000	ISOLATED_FRESH_RUN_DIR	future-evidence/b9-e01-e10/E05-disabled	vm_mode=0;translation_disabled_control	run_m4c_replay.sh disabled max_kernels=1	A_TERMINAL;resource_gate;binary_hash;no_existing_output	exit=0;processing=1;telemetry=1;realization=PASS
